"subject","region","epoch","eyeState","nCp_delta","nCp_theta","nCp_alpha","nCp_beta_smr","nCp_beta","nCp_gamma"
"010002",1,1,1,0,0,0,0,0,0
"010002",2,1,1,0,0,0,1,0,0
"010002",3,1,1,0,0,0,0,2,0
"010002",4,1,1,0,0,0,0,0,0
"010002",5,1,1,1,0,0,0,0,0
"010002",6,1,1,0,0,0,3,0,0
"010002",7,1,1,0,0,0,4,0,0
"010002",1,2,1,0,0,0,0,0,0
"010002",2,2,1,0,0,0,0,0,0
"010002",3,2,1,0,0,0,0,0,0
"010002",4,2,1,0,0,0,0,0,0
"010002",5,2,1,0,2,1,1,0,12
"010002",6,2,1,0,0,0,0,0,3
"010002",7,2,1,0,0,0,0,0,0
"010002",1,3,1,0,0,0,5,0,2
"010002",2,3,1,0,0,0,7,0,0
"010002",3,3,1,0,0,0,1,0,0
"010002",4,3,1,0,0,0,0,0,1
"010002",5,3,1,1,0,0,2,0,1
"010002",6,3,1,0,0,0,0,0,0
"010002",7,3,1,0,0,0,0,0,0
"010002",1,4,1,0,0,0,0,0,0
"010002",2,4,1,0,0,0,0,0,0
"010002",3,4,1,1,0,0,0,0,2
"010002",4,4,1,0,1,0,2,0,2
"010002",5,4,1,1,0,0,4,2,0
"010002",6,4,1,0,0,0,0,0,0
"010002",7,4,1,0,0,0,0,0,0
"010002",1,5,1,0,0,0,0,0,0
"010002",2,5,1,0,0,0,0,0,0
"010002",3,5,1,1,0,0,1,0,5
"010002",4,5,1,0,0,0,0,0,0
"010002",5,5,1,0,0,0,0,0,2
"010002",6,5,1,0,0,0,0,0,0
"010002",7,5,1,0,0,0,0,0,2
"010002",1,6,1,0,1,0,1,0,0
"010002",2,6,1,0,0,0,2,0,0
"010002",3,6,1,1,0,0,1,0,0
"010002",4,6,1,0,0,0,1,0,2
"010002",5,6,1,1,0,0,3,0,5
"010002",6,6,1,2,1,0,0,0,0
"010002",7,6,1,0,0,0,0,0,0
"010002",1,7,1,0,1,3,0,0,0
"010002",2,7,1,0,0,0,0,0,0
"010002",3,7,1,0,0,1,0,0,0
"010002",4,7,1,0,0,0,0,0,0
"010002",5,7,1,2,0,0,0,0,6
"010002",6,7,1,2,0,0,1,0,3
"010002",7,7,1,0,0,0,0,0,0
"010002",1,8,1,2,0,5,0,0,1
"010002",2,8,1,0,0,1,0,0,0
"010002",3,8,1,0,0,5,0,0,1
"010002",4,8,1,0,0,0,0,0,1
