"subject","region","epoch","eyeState","CpLoc_delta","CpLoc_theta","CpLoc_alpha","CpLoc_beta_smr","CpLoc_beta","CpLoc_gamma"
"010007",7,4,0,"[6,9,9,11,16,17,19,22,27]","[3,6,9,11,12,13,17,19,20,21,22,22,22,23,27,27,27,27,27]","[3,7,9,10,13,17,19,19,19,20,22,22,22,22,22,23,24,26,27,27,27,27,27]","[14]","[4,7,7,13,14,19,20,21,22,22,26,27,27,27]","[3,5,6,7,9,15,16,16,16,16,17,18,18,19,19,19,20,22,22,22,22,22,23,25,27,27,27,27]"
"010007",1,5,0,"[3,6]","[]","[3,6]","[3]","[]","[3,3,6,6,9,9,10,13,15,19,21,21]"
"010007",2,5,0,"[9,18]","[27]","[6,9,12,16,18,21,22]","[3,4,5,6,7,9,9,12,26,26]","[13,18]","[3,4,6,9,12,15,26]"
"010007",3,5,0,"[13,15]","[13]","[6,16,18]","[3,6,10,10,18,19,21,25]","[13,25]","[21,27,27]"
"010007",4,5,0,"[]","[]","[]","[18,26]","[27]","[3,8,9,14,14,19,22]"
"010007",5,5,0,"[3,7,8,9,9,11,12,22,27,27]","[26]","[3,4,4,5,6,7,8,8,9,11,12,12,13,13,14,15,15,16,16,18,18,19,19,21,21,21,22,24,24,25,25]","[9,16]","[4,5,5,18,18,25]","[4,12,15,15,16,18,21]"
"010007",6,5,0,"[3,5,5,5,7,7,8,9,11,12,12,16,22,26]","[21,25]","[9,11,12,14,15,16,17,19,22,27]","[5,16]","[3,17,24,27]","[9,11,13,16]"
"010007",7,5,0,"[3,3,5,6,7,8,10,12,12,18,22]","[5]","[16,22,25,26,27]","[]","[19,26]","[5,11,15,16,27]"
"010007",1,6,0,"[3,11,19]","[]","[3,6,8]","[]","[3,4,4]","[3,4,6,7,7,8,15,27]"
"010007",2,6,0,"[11,24]","[11,18,27]","[3,5,5,11,24]","[8]","[]","[3,3,3,4,5,19]"
"010007",3,6,0,"[13,14]","[15]","[3,3,3,13,17,21,26]","[]","[6,8]","[3,5,6,8,9,13,17,27,27]"
"010007",4,6,0,"[3,15,25]","[5]","[5,5,10,13]","[4,12,18,19,20,22,23]","[9,23,23,27,27]","[3,3,5,7,8,9,9,12,12,16,16,16,22]"
"010007",5,6,0,"[3,5,5,5,6,6]","[5,26]","[3,3,5,21,22]","[11,11,11,13,17,18,19,19]","[3,5,5,5,5,5,5,8,8,8,8,9,10,11,11,12,12,12,14,14,14,17,19,21,22,27]","[3,5,5,5,5,5,8,8,9,9,16]"
"010007",6,6,0,"[3,4,5,5,5,5,5,7,8,8]","[15,18]","[4,5]","[11,11,17]","[3,4,5,5,6,8,8,8,10,10,12,21]","[3,4,5,5,5,5,7,8,11]"
"010007",7,6,0,"[4,5,5,5,6,7]","[5,6,6,22]","[10,15,16,21]","[7,11,16,16,19,21,22]","[5,5,8,11,13,22,27,27]","[4,5,8,8,9,10,10,13,27]"
"010007",1,7,0,"[3,4,5,6,6,7,9,14,21,24,27,27]","[8,13,18,23]","[9,12]","[17,20,23,23]","[3,5,14,16,16]","[11,15,20,23,27]"
