"subject","region","epoch","eyeState","CpLoc_delta","CpLoc_theta","CpLoc_alpha","CpLoc_beta_smr","CpLoc_beta","CpLoc_gamma"
"010002",1,1,1,"[]","[8,53,53,54]","[]","[16]","[48]","[7,39]"
"010002",2,1,1,"[]","[]","[28,29]","[52,54]","[34,37,41,47]","[]"
"010002",3,1,1,"[]","[31,50]","[9,22,26,26,29,49]","[43,44,50,54,55,55]","[41,42,46]","[16,29]"
"010002",4,1,1,"[]","[]","[]","[]","[]","[]"
"010002",5,1,1,"[]","[]","[]","[48,55,56]","[55]","[4,7]"
"010002",6,1,1,"[27]","[28,46]","[]","[45,54,54]","[44,46]","[50,53,54]"
"010002",7,1,1,"[17,18,47,53,53,53,56]","[]","[]","[39,42,45]","[49]","[]"
"010002",1,2,1,"[]","[]","[54]","[]","[]","[]"
"010002",2,2,1,"[]","[7,14,54]","[4,33,40,54]","[]","[7,27,36,41,44,49]","[]"
"010002",3,2,1,"[]","[]","[4]","[]","[]","[]"
"010002",4,2,1,"[]","[]","[]","[]","[]","[]"
"010002",5,2,1,"[]","[13,16,26,26,32,39]","[19,34]","[33,45,45]","[54,56]","[4,6,6,6,6,11,49,49,49,50,51]"
"010002",6,2,1,"[]","[14]","[]","[26]","[]","[5,6,14,21,50,52]"
"010002",7,2,1,"[]","[]","[]","[]","[]","[]"
"010002",1,3,1,"[9,10,20,21,25,25]","[]","[]","[33,49,52,54]","[6,14,34,56]","[13,40,41,44]"
"010002",2,3,1,"[36]","[]","[52,56]","[10,48,51,53]","[32,49]","[40,52,55]"
"010002",3,3,1,"[]","[]","[]","[]","[]","[6,11,32,37,43,54]"
"010002",4,3,1,"[]","[]","[]","[]","[]","[9,13,45]"
"010002",5,3,1,"[]","[]","[]","[]","[]","[]"
"010002",6,3,1,"[]","[]","[]","[]","[]","[]"
"010002",7,3,1,"[]","[]","[]","[]","[]","[]"
"010002",1,4,1,"[17,19,19,24,25,25,56]","[]","[10,32,49]","[42]","[]","[13,36]"
"010002",2,4,1,"[18,36,40,47,49]","[]","[]","[29]","[]","[16,22]"
"010002",3,4,1,"[]","[]","[]","[]","[]","[15,25]"
"010002",4,4,1,"[18]","[]","[]","[9]","[11,31,32]","[8,12,15,17,19,23,24]"
"010002",5,4,1,"[5,13]","[]","[41]","[19,21,45,46,51]","[9,9,32,33,33]","[14,17,49,53]"
"010002",6,4,1,"[]","[]","[]","[]","[11,28]","[]"
"010002",7,4,1,"[33]","[]","[41]","[37]","[33,33,35,45]","[37]"
"010002",1,5,1,"[4]","[]","[33]","[47]","[11]","[]"
"010002",2,5,1,"[]","[]","[]","[]","[]","[29,44,48,52,53,56]"
"010002",3,5,1,"[]","[]","[13]","[13,23,43]","[]","[14,17,39,43,47,47,48,51,52,56]"
"010002",4,5,1,"[]","[]","[]","[]","[]","[]"
"010002",5,5,1,"[15,55]","[]","[]","[5]","[50]","[]"
"010002",6,5,1,"[]","[41]","[]","[]","[56]","[]"
"010002",7,5,1,"[]","[]","[47,51,51]","[56]","[]","[6,6,42]"
"010002",1,6,1,"[]","[5,6]","[]","[53]","[]","[]"
"010002",2,6,1,"[53]","[]","[]","[17,30,48]","[]","[55]"
"010002",3,6,1,"[]","[15]","[]","[32,36,47]","[]","[54]"
"010002",4,6,1,"[]","[]","[]","[12,15]","[]","[6,52,53]"
"010002",5,6,1,"[33]","[19]","[15]","[5,10,18,21,25,29,35]","[]","[5,51,51,52,55,56]"
"010002",6,6,1,"[29,30,31,36,42]","[4]","[14]","[]","[]","[]"
"010002",7,6,1,"[33]","[]","[]","[]","[]","[54]"
"010002",1,7,1,"[4,14,16,39,45,54]","[54]","[35,56]","[8]","[29]","[]"
"010002",2,7,1,"[56]","[]","[51]","[]","[]","[]"
"010002",3,7,1,"[]","[]","[49]","[46,55]","[52]","[11]"
"010002",4,7,1,"[]","[12]","[]","[]","[]","[]"
"010002",5,7,1,"[]","[49]","[]","[]","[]","[6,10,53]"
"010002",6,7,1,"[4]","[]","[]","[30,31,31,31]","[43]","[6,8,11,54]"
"010002",7,7,1,"[]","[13,16,18]","[]","[]","[43,53]","[]"
"010002",1,8,1,"[]","[]","[8,8,32,33,37,38]","[]","[]","[45]"
"010002",2,8,1,"[42]","[4]","[9,13,19,25,30,31,36]","[]","[]","[]"
"010002",3,8,1,"[]","[]","[10,23,29,32,34,39]","[33]","[]","[21,28]"
"010002",4,8,1,"[]","[]","[]","[26]","[]","[15,16,19,29,30,30,31,33,35,38]"
"010002",5,8,1,"[7]","[35,40,44]","[]","[44]","[]","[20,21,25,25,26,29,38]"
"010002",6,8,1,"[]","[]","[]","[]","[]","[]"
"010002",7,8,1,"[]","[]","[]","[]","[]","[]"
"010002",1,1,0,"[]","[20,33,56,56]","[]","[32,33,38]","[]","[5,18]"
"010002",2,1,0,"[]","[]","[]","[]","[8]","[19,20]"
"010002",3,1,0,"[]","[]","[]","[]","[]","[48]"
"010002",4,1,0,"[]","[]","[]","[4,5]","[4]","[]"
"010002",5,1,0,"[]","[]","[17]","[]","[4]","[10]"
"010002",6,1,0,"[]","[]","[]","[]","[]","[43,49,54]"
"010002",7,1,0,"[]","[6]","[17,19]","[5]","[]","[10,11,13]"
"010002",1,2,0,"[]","[]","[]","[]","[]","[]"
"010002",2,2,0,"[25,26,27,31,32,40]","[]","[24,48,52,56]","[]","[]","[35]"
"010002",3,2,0,"[18,26]","[26]","[45,55]","[]","[]","[27,36]"
"010002",4,2,0,"[]","[54,55]","[42,49,50,50,54,55]","[]","[54]","[]"
"010002",5,2,0,"[50]","[8,14,54]","[24,38,38,42,45,46,50,50,52,53,55]","[]","[48,55,56]","[5,19,21]"
"010002",6,2,0,"[]","[18]","[25,28,40,48,53,55]","[]","[]","[]"
"010002",7,2,0,"[47,52,56,56]","[7]","[21,27,37,38,41,42,43,45,46,47,50,52,52,53,54,54]","[]","[46,56,56]","[18,21,40,40,41,42,46,51,55]"
"010002",1,3,0,"[]","[22]","[]","[]","[20]","[]"
"010002",2,3,0,"[]","[]","[]","[]","[]","[]"
"010002",3,3,0,"[]","[]","[]","[]","[]","[]"
"010002",4,3,0,"[]","[]","[18,19,19,22,22,26,27,35]","[14]","[]","[23,23,26,36,45,55]"
"010002",5,3,0,"[]","[]","[5,5,6,18,18,21,23,24,46,47,49,55]","[28]","[]","[23,33,36,37]"
"010002",6,3,0,"[]","[]","[4,4,24,24,36]","[]","[9,14,14]","[28]"
"010002",7,3,0,"[4]","[12]","[4,4,4,4,5,5,6,7,8,13,16,19,19,19,20,22,22,24,26,27,27,28,28]","[]","[8,12,24,25,30,35]","[8,9,17,25,26,31,32,32,33,36,38]"
"010002",1,4,0,"[]","[55]","[]","[7,9]","[]","[10]"
"010002",2,4,0,"[]","[]","[]","[]","[]","[]"
"010002",3,4,0,"[]","[]","[]","[]","[]","[]"
"010002",4,4,0,"[38]","[5]","[]","[29]","[]","[10,44]"
"010002",5,4,0,"[]","[]","[]","[]","[]","[]"
"010002",6,4,0,"[]","[]","[]","[]","[]","[]"
"010002",7,4,0,"[8]","[24,28,36,43]","[]","[]","[26]","[17]"
"010002",1,5,0,"[13]","[]","[]","[43,43]","[24,37]","[53]"
"010002",2,5,0,"[56]","[4,26,33,49,52]","[]","[]","[29]","[6,50,51,56]"
"010002",3,5,0,"[]","[]","[]","[52,56]","[]","[51]"
"010002",4,5,0,"[14,25,27,33,34]","[5]","[7,13,15,17,21,26]","[]","[53]","[]"
"010002",5,5,0,"[4,28]","[4]","[24,56]","[]","[4]","[]"
"010002",6,5,0,"[4,29,31]","[4,5]","[]","[56]","[]","[]"
"010002",7,5,0,"[4,10,30,38]","[33]","[11,12,13,20,21,22,27,28,32,32,36,38,38]","[8,12,16,27]","[24]","[26]"
"010002",1,6,0,"[]","[]","[]","[]","[]","[8,15,23,28]"
"010002",2,6,0,"[25,40,41]","[]","[]","[32,36,37,44]","[49]","[8,15,23,30,36,40]"
"010002",3,6,0,"[]","[7,7,14]","[]","[15,17,19,21,30,38,40,42]","[]","[13,23,24,25,26,55]"
"010002",4,6,0,"[10,15]","[]","[]","[]","[]","[4,4,6,15,19,23,25,27,28,32,36,39,42,43,44,44,45,53]"
"010002",5,6,0,"[16,25,50]","[12,12,30]","[]","[]","[]","[4,4,14,18,18,20,21,35,36,41,42,43]"
"010002",6,6,0,"[25,28,31,35,46]","[]","[35]","[12,16,17,17,18,30,34,42,48,55]","[38,44]","[5,6,11,16,17,18,20,20,21,22,23,27,35,39]"
"010002",7,6,0,"[4,8,12,20,31,32]","[46,51]","[25,53]","[]","[12]","[4,6,7,13,14,16,16,20,23,23,23,25,27,35,37,40,40,42,45,48,49]"
"010002",1,7,0,"[]","[]","[54,55,56,56]","[]","[]","[]"
"010002",2,7,0,"[28,46]","[7,13]","[34]","[11,31,32,34,53,55,55,55,56]","[]","[]"
"010002",3,7,0,"[47]","[]","[]","[52]","[]","[55]"
"010002",4,7,0,"[]","[4]","[]","[]","[]","[9]"
"010002",5,7,0,"[]","[]","[]","[54]","[]","[]"
"010002",6,7,0,"[]","[8,10,13,14]","[]","[]","[]","[]"
"010002",7,7,0,"[]","[9,11,11,15,17,23,28]","[4,7,9,11,13]","[55]","[]","[9]"
"010002",1,8,0,"[]","[25]","[19,21,24]","[17]","[]","[7,8,10,14,30,33,44]"
"010002",2,8,0,"[]","[]","[37]","[17]","[10,44]","[10,12,13,14,16,18,24,33,38]"
"010002",3,8,0,"[]","[]","[16,24,26,30,31,31,32,33,42,44,50]","[6,19]","[7]","[10,10,12,12,13,16,17,20,24,39]"
"010002",4,8,0,"[6,21,26,47,48,51,54]","[25,25,54]","[21]","[33,38]","[]","[9,11,11,12,16,17,18,21,24,25,30,43,44,49]"
"010002",5,8,0,"[]","[6,9,10,13]","[44]","[22,54]","[]","[6,9,9,10,12,13,14,14,14,14,16,17,18,18,18,18,22,22,22,24,26,28,29,40,40]"
"010002",6,8,0,"[]","[]","[13,21,25,41,42]","[5,15,20]","[]","[6,7,7,7,7,10,11,13,14,15,16,17,19,21,21,24,25,28,29,31,33,36,39]"
"010002",7,8,0,"[6,7,15,22,22]","[]","[6,12,16,18,21,22,24]","[4,33,33]","[4]","[4,4,8,10,11,11,11,13,17,22,22,30,33]"
"010003",1,1,1,"[13,14,18,18,19,19,19,23]","[5,33]","[4,4,5,9,13,13,19,26,33,37]","[5,9,9,14,26,28,29,36]","[]","[28,40,44,53]"
"010003",2,1,1,"[15,25]","[20,21]","[7,11,12,16,17,20,21,27,29,29,34,55]","[5,6,6,14,35,45,51]","[9,17]","[39,56]"
"010003",3,1,1,"[8,16,18]","[]","[11]","[]","[]","[4,19]"
"010003",4,1,1,"[16,18,23]","[]","[4,9,12,16,22,23,29,32]","[]","[]","[]"
"010003",5,1,1,"[5,46]","[]","[14,20,22,23,29,29,30]","[]","[]","[5,6,8,9,15,17,30,40]"
"010003",6,1,1,"[39]","[4]","[11,14,15]","[27,35,44]","[]","[4,6,6,15,19]"
